Original_insults,regex,insult_name,regex2
feminazis,feminazi[s]?,Feminazi_+,\bfeminazi[s]?\b
sos fea,so[n|s].*(fea),Fex,\bso[n|s].*(fea)\b
figureti,figuret[t]?i[s]?,Figureti,\bfiguret[t]?i[s]?\b
focas aplaudidoras,foca[s]? aplaudidora[s]?,Foca_aplaudidora,\bfoca[s]? aplaudidora[s]?\b
forra,forr[a-z]+,Forrx,\bforr[a-z]+\b
forro,forr[a-z]+,Forrx,\bforr[a-z]+\b
forros,forr[a-z]+,Forrx,\bforr[a-z]+\b
pedazo de forro,forr[a-z]+,Forrx,\bforr[a-z]+\b
fracasado,fracas[a-z]+,Fracasadx,\bfracas[a-z]+\b
frakaso,frakas[a-z]+,Fracaso_anti-K,\bfrakas[a-z]+\b
frustrados,(so[sn]|es).*frustrad[a-z]+,Frustradx,\b(so[sn]|es).*frustrad[a-z]+\b
gaga,gaga[s]?,Gaga,\bgaga[s]?\b
gallinas a sueldo,gallina[s],Gallina_a_sueldo,\bgallina[s]\b
ganso,gans[a-z]+,Gansx,\bgans[a-z]+\b
garca,garca[s]?,Garcx,\bgarca[s]?\b
garcas,garca[s]?,Garcx,\bgarca[s]?\b
garkas,garka[s]?,Garcx_anti-K,\bgarka[s]?\b
garrapata,garrapata[s]?,Garrapata,\bgarrapata[s]?\b
gato,gat[a-z]+,Gatx,\bgat[a-z]+\b
gato contrabandista,gat[a-z]+,Gatx,\bgat[a-z]+\b
toga,toga(s)?,Gatx,\btoga(s)?\b
gil,gil[a-z]*,Gilx,\bgil[a-z]*\b
giles,gil[a-z]*,Gilx,\bgil[a-z]*\b
globerto,globert[a-z]+,Globertx,\bglobert[a-z]+\b
globertos,globert[a-z]+,Globertx,\bglobert[a-z]+\b
globolin,globol[a-z]+,Globertx,\bglobol[a-z]+\b
golpista,golpista[s]?,Golpista,\bgolpista[s]?\b
golpistas,golpista[s]?,Golpista,\bgolpista[s]?\b
gomas,goma[s]?,Goma,\bgoma[s]?\b
gorda,gord[a-z]+,Gordx,\bgord[a-z]+\b
gordita,gord[a-z]+,Gordx,\bgord[a-z]+\b
gordito,gord[a-z]+,Gordx,\bgord[a-z]+\b
gordo,gord[a-z]+,Gordx,\bgord[a-z]+\b
gordo,gord[a-z]+,Gordx,\bgord[a-z]+\b
gordo,gord[a-z]+,Gordx,\bgord[a-z]+\b
gorila,gorila[s]?,Gorila,\bgorila[s]?\b
gorilas,gorila[s]?,Gorila,\bgorila[s]?\b
grasa,grasa,Grasa,\bgrasa\b
gusano,gusano[s]?,Gusano,\bgusano[s]?\b
gusanos,gusano[s]?,Gusano,\bgusano[s]?\b
hizo la colita,(hace(s)?|hizo|hicieron).*(cola|colita|ogt|orto),Hacer_el_culo,\b(hace(s)?|hizo|hicieron).*(cola|colita|ogt|orto)\b
hacete culear,(hacete|haganse) (culear|coger|cojer),Hacete_coger,\b(hacete|haganse) (culear|coger|cojer)\b
hacete humo,(hacete|haganse) humo,Hacete_humo,\b(hacete|haganse) humo\b
hambriador,hambriador[a-z]*,Hambriadorx,\bhambriador[a-z]*\b
h dep,h dep,HDP,\bh dep\b
hdmp,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdp,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdre1000p,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdremilp,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdrmp,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdrp,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hdrps,hd[a-z0-9]*p[s]?,HDP,\bhd[a-z0-9]*p[s]?\b
hderemilput,hd[a-z0-9]*put[a-z]*,HDP,\bhd[a-z0-9]*put[a-z]*\b
manga de hdp,hdp,HDP,\bhdp\b
mangas de hdp,hdp,HDP,\bhdp\b
hijo de mil p.,hij.*p,HDP,\bhij.*p\b
hijosdep.ta,hij.*p\.ta[s]?,HDP,\bhij.*p\.ta[s]?\b
hijodemilput,hij.*put,HDP,\bhij.*put\b
hija de mil puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hija de puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hija de remil puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hija de un camion con acopaldos de putas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijas de puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de mil putas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de re mil putas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de remil puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de su puta madre,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijo de una p--uta barata,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijoeputas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijos d puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijos de puta,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijos de putas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijos de remil putas,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
hijosdeputa,hij.*puta[s]?,HDP,\bhij.*puta[s]?\b
remil hijo de reverendisimas mierdas,hij[a-z]+ de .* mierda[s]?,HDP,\bhij[a-z]+ de .* mierda[s]?\b
hmp,hmp,HDP,\bhmp\b
hp,hp,HDP,\bhp\b
ijo e puta,ijo e puta[s],HDP,\bijo e puta[s]\b
hiena,hiena[s]?,Hiena,\bhiena[s]?\b
hienas,hiena[s]?,Hiena,\bhiena[s]?\b
hipocrita,hipocrita[s]?,Hipocrita,\bhipocrita[s]?\b
hipocrita ,hipocrita[s]?,Hipocrita,\bhipocrita[s]?\b
hipocritas,hipocrita[s]?,Hipocrita,\bhipocrita[s]?\b
pedazo de hipocrita,hipocrita[s]?,Hipocrita,\bhipocrita[s]?\b
hipokrita,hipokrita[s]?,Hipocrita_anti-K,\bhipokrita[s]?\b
horrendo,(so[sn]|es).*horrend[a-z]+,Horrendx,\b(so[sn]|es).*horrend[a-z]+\b
persona horrible,persona[s]? horrible[s]?,Horrible,\bpersona[s]? horrible[s]?\b
señor horrible,señor(a)? Horrible,Horrible,\bseñor(a)? Horrible\b
mujer horrible,(mujer|hombre) horrible,Horrible,\b(mujer|hombre) horrible\b
hueca,huec[a-z]+,Huecx,\bhuec[a-z]+\b
huevon,huevon[a-z]*,Huevonx,\bhuevon[a-z]*\b
capo de las estepas de la idiotez,capo de las estepas de la idiotez,Idiota,\bcapo de las estepas de la idiotez\b
idiota,idiot[a-z]*,Idiota,\bidiot[a-z]*\b
idiotas,idiot[a-z]*,Idiota,\bidiot[a-z]*\b
idiote,idiot[a-z]*,Idiota,\bidiot[a-z]*\b
ignorante,ignorante[s]?,Ignorante,\bignorante[s]?\b
ignorantes,ignorante[s]?,Ignorante,\bignorante[s]?\b
iletrada,iletrad[a-z]+,Iletradx,\biletrad[a-z]+\b
iluso,ilus[a-z]+,Ilusx,\bilus[a-z]+\b
ilusos,ilus[a-z]+,Ilusx,\bilus[a-z]+\b
imbecil,imbecil[a-z]*,Imbecil,\bimbecil[a-z]*\b
imbecil,imbecil[a-z]*,Imbecil,\bimbecil[a-z]*\b
imberbes,imberbe[s]?,Imberbe,\bimberbe[s]?\b
impresentable,impresentable[s]?,Impresentable,\bimpresentable[s]?\b
impresentables,impresentable[s]?,Impresentable,\bimpresentable[s]?\b
inadaptadas,inadaptad[a-z]+,Inadaptadx,\binadaptad[a-z]+\b
incapaz,incapa[zces],Incapaz,\bincapa[zces]\b
incoherente,incoherente[s]?,Incoherente,\bincoherente[s]?\b
incompetentes,incompetente[s]?,Incompetente,\bincompetente[s]?\b
indignante,indign[a-z]+,Indignante,\bindign[a-z]+\b
indigna,indign[a-z]+,Indignx,\bindign[a-z]+\b
indigno,indign[a-z]+,Indignx,\bindign[a-z]+\b
indignos,indign[a-z]+,Indignx,\bindign[a-z]+\b
ineptas,inept[a-z]+,Ineptx,\binept[a-z]+\b
inepto,inept[a-z]+,Ineptx,\binept[a-z]+\b
ineptos,inept[a-z]+,Ineptx,\binept[a-z]+\b
manga de ineptos,inept[a-z]+,Ineptx,\binept[a-z]+\b
inescrupulosa,inescrupulos[a-z]+,Inescrupulosx,\binescrupulos[a-z]+\b
infame,infame[s]?,Infame,\binfame[s]?\b
infeliz,infeli[zces],Infeliz,\binfeli[zces]\b
infeliz de mierda,infeli[zces],Infeliz,\binfeli[zces]\b
infradotada,infradotad[a-z]+,Infradotadx,\binfradotad[a-z]+\b
inhumana,inhuman[a-z]+,Inhumanx,\binhuman[a-z]+\b
inhumanos,inhuman[a-z]+,Inhumanx,\binhuman[a-z]+\b
inmoral,inmoral[es]?,Inmoral,\binmoral[es]?\b
inmorales,inmoral[es]?,Inmoral,\binmoral[es]?\b
inmundo,inmund[a-z]+,Inmundx,\binmund[a-z]+\b
inmunda,inmund[a-z]+,Inmundx,\binmund[a-z]+\b
ser inmundo,ser(es)? (despreciable|inmundo|siniestro|horrible)(s)?,Inmundx,\bser(es)? (despreciable|inmundo|siniestro|horrible)(s)?\b
inoperante,inoperante[s]?,Inoperante,\binoperante[s]?\b
inoperantes,inoperante[s]?,Inoperante,\binoperante[s]?\b
insano,insan[a-z]+,Insanx,\binsan[a-z]+\b
insensible,insensible[s]?,Insensible,\binsensible[s]?\b
insensibles,insensible[s]?,Insensible,\binsensible[s]?\b
inservible,inservible[s]?,Inservible,\binservible[s]?\b
inservibles,inservible[s]?,Inservible,\binservible[s]?\b
insoportable,insoportable[s]?,Insoportable,\binsoportable[s]?\b
intolerante,intolerante[s]?,Intolerante,\bintolerante[s]?\b
inutil,inutil[es]?,Inutil,\binutil[es]?\b
inutiles,inutil[es]?,Inutil,\binutil[es]?\b
inutiles de mierda,inutil[es]?,Inutil,\binutil[es]?\b
manga de inutiles,inutil[es]?,Inutil,\binutil[es]?\b
invalidos,invalid[a-z]+,Invalidx,\binvalid[a-z]+\b
irrespetuoso,irrespetuos[a-z]+,Irrespetuosx,\birrespetuos[a-z]+\b
irresponsables,irresposable[s]?,Irresponsable,\birresposable[s]?\b
jdt,jdt,Jodete,\bjdt\b
jo dan se,jo (dan|de) se,Jodete,\bjo (dan|de) se\b
jodanse,jodanse,Jodete,\bjodanse\b
jodete,jodete,Jodete,\bjodete\b
kicifault,kicifault,Kicifault,\bkicifault\b
lacra,lacra[s]?,Lacra,\blacra[s]?\b
lacras,lacra[s]?,Lacra,\blacra[s]?\b
lakra,lakra[s]?,Lacra_anti-K,\blakra[s]?\b
lakras,lakra[s]?,Lacra_anti-K,\blakra[s]?\b
ladri,ladri[s]?,Ladri,\bladri[s]?\b
ladris,ladri[s]?,Ladri,\bladri[s]?\b
ladron,ladron[a-z]*,Ladronx,\bladron[a-z]*\b
ladrona,ladron[a-z]*,Ladronx,\bladron[a-z]*\b
ladronas,ladron[a-z]*,Ladronx,\bladron[a-z]*\b
ladrones,ladron[a-z]*,Ladronx,\bladron[a-z]*\b
lambeculos,lambeculos,Lameculos,\blambeculos\b
lame kageta,lame( )?(culo|kageta|cajeta|orto)[s]?,Lameculos,\blame( )?(culo|kageta|cajeta|orto)[s]?\b
lamebotas,lame( )?(culo|kageta|cajeta|orto)[s]?,Lameculos,\blame( )?(culo|kageta|cajeta|orto)[s]?\b
lameculo,lame( )?(culo|kageta|cajeta|orto)[s]?,Lameculos,\blame( )?(culo|kageta|cajeta|orto)[s]?\b
sos lo mas lamentable,so[n|s].*(lamentable),Lamentable,\bso[n|s].*(lamentable)\b
pedazo de langosta,pedazo de (langosta|mierda)[s]?,Langosta,\bpedazo de (langosta|mierda)[s]?\b
larga la falopa,larga la (falopa|merca|droga),Larga_la_falopa,\blarga la (falopa|merca|droga)\b
larrata,larrata,Larrata,\blarrata\b
larva inmunda,larva[s]?,Larva,\blarva[s]?\b
lavador,lavador[a-z]*,Lavadorx,\blavador[a-z]*\b
anda a lavarte el orto,anda a lavarte el orto,Lavate_el_orto,\banda a lavarte el orto\b
lavarte la boca,lavar.*boca,Lavate_la_boca,\blavar.*boca\b
la concha de tu madre,(re)?concha.*madre,Lcdtm,\b(re)?concha.*madre\b
la re concha de tu madre,(re)?concha.*madre,Lcdtm,\b(re)?concha.*madre\b
la reconcha puta de tu madre,(re)?concha.*madre,Lcdtm,\b(re)?concha.*madre\b
andate a la concha de tu madre,andate .* concha .* madre,Lcdtm,\bandate .* concha .* madre\b
lela,lel[aoes]*,Lelx,\blel[aoes]*\b
lelo,lel[aoes]*,Lelx,\blel[aoes]*\b
lloron,lloron[a-z]*,Lloronx,\blloron[a-z]*\b
llorones,lloron[a-z]*,Lloronx,\blloron[a-z]*\b
loca,loc[a-z]+,Locx,\bloc[a-z]+\b
loca como una cabra,loc[a-z]+,Locx,\bloc[a-z]+\b
loca de mierda,loc[a-z]+,Locx,\bloc[a-z]+\b
loco,loc[a-z]+,Locx,\bloc[a-z]+\b
loko,lok[a-z]+,Locx_anti-K,\blok[a-z]+\b
loros barranqueros,lor[aoes]*,Lorx,\blor[aoes]*\b
lpm,lpm,Lpm,\blpm\b
la puta madre que te pario,(re)?puta.*pario,Lpqtp,\b(re)?puta.*pario\b
andate a la reputisima madre que te pario,andate .* madre .* pario,Lpqtp,\bandate .* madre .* pario\b
andate a la puta que te pario,andate .* puta .* pario,Lpqtp,\bandate .* puta .* pario\b
lpqtp,lpqt[rm]*p,lpqtp,\blpqt[rm]*p\b
la pqtp,pqt[rm]*p,Lpqtp,\bpqt[rm]*p\b
la pu ta que te pa rio,pu ta.*pa rio,Lpqtp,\bpu ta.*pa rio\b
vayanse a la puta que los pario,put.*pario,Lpqtp,\bput.*pario\b
la tenes adentro,la (tenes|tiene[n]?) adentro,LTA,\bla (tenes|tiene[n]?) adentro\b
la tienen adentro,la (tenes|tiene[n]?) adentro,LTA,\bla (tenes|tiene[n]?) adentro\b
lta,lta,LTA,\blta\b
machirulo,machirulo[s]?,Machirulo,\bmachirulo[s]?\b
mafiosa,mafios[a-z]+,Mafiosx,\bmafios[a-z]+\b
mafioso,mafios[a-z]+,Mafiosx,\bmafios[a-z]+\b
mafiosos,mafios[a-z]+,Mafiosx,\bmafios[a-z]+\b
mal cagado,mal cagad[a-z]+,Mal_cagadx,\bmal cagad[a-z]+\b
mal nacidos,mal nacid[a-z]+,Mal_nacidx,\bmal nacid[a-z]+\b
mal parido,mal parid[a-z]+,Mal_nacidx,\bmal parid[a-z]+\b
mala leche,mala leche,Mala_leche,\bmala leche\b
malandra,malandr[a-z]+,Malandrx,\bmalandr[a-z]+\b
malandras,malandr[a-z]+,Malandrx,\bmalandr[a-z]+\b
mal educado,mal educad[a-z]+,Maleducadx,\bmal educad[a-z]+\b
malcriados,malcriad[a-z]+,Maleducadx,\bmalcriad[a-z]+\b
maleducada,maleducad[a-z]+,Maleducadx,\bmaleducad[a-z]+\b
maleducado,maleducad[a-z]+,Maleducadx,\bmaleducad[a-z]+\b
maloliente,maloliente[s]?,Maloliente,\bmaloliente[s]?\b
mamarracha,mamarrach[a-z]+,Mamarrachx,\bmamarrach[a-z]+\b
mamarracho,mamarrach[a-z]+,Mamarrachx,\bmamarrach[a-z]+\b
mamarrachos,mamarrach[a-z]+,Mamarrachx,\bmamarrach[a-z]+\b
mamerta,mamert[a-z]+,Mamertx,\bmamert[a-z]+\b
mamerto,mamert[a-z]+,Mamertx,\bmamert[a-z]+\b
mamotreto,mamotret[a-z]+,Mamotretx,\bmamotret[a-z]+\b
manipuladores,manipulador[a-z]*,Manipuladorx,\bmanipulador[a-z]*\b
sarta de mantenidos,sarta de mantenid[aoe]s,Mantenidx,\bsarta de mantenid[aoe]s\b
deja de mariconear,dej[a-z]+ de mariconear,Mariconear,\bdej[a-z]+ de mariconear\b
flor de maraca,maraca[s]?,Mariconx,\bmaraca[s]?\b
maraca,maraca[s]?,Mariconx,\bmaraca[s]?\b
marica,maric[a-z]+,Mariconx,\bmaric[a-z]+\b
maricon,maric[a-z]+,Mariconx,\bmaric[a-z]+\b
marmota,marmota[s]?,Marmota,\bmarmota[s]?\b
marmota atomico,marmota[s]?,Marmota,\bmarmota[s]?\b
matate,matate,Matate,\bmatate\b
me cago en vos,cago en (vos|ustedes|usted|todos|el|ella),Me_cago_en,\bcago en (vos|ustedes|usted|todos|el|ella)\b
se esta cagando en,esta[sn]?.*cagando en,Me_cago_en,\besta[sn]?.*cagando en\b
mediocre,mediocre[s]?,Mediocre,\bmediocre[s]?\b
mediocres,mediocre[s]?,Mediocre,\bmediocre[s]?\b
mente corta,mente corta,Mente_corta,\bmente corta\b
mentirosa,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mentirosas seriales,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mentiroso,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mentiroso serial,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mentirosos,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
pedazo de mentirosa,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mentiroso,mentiros[a-z]+,Mentirosx,\bmentiros[a-z]+\b
mercenaria,mercenari[a-z]+,Mercenarix,\bmercenari[a-z]+\b
mercenario,mercenari[a-z]+,Mercenarix,\bmercenari[a-z]+\b
mercenarios,mercenari[a-z]+,Mercenarix,\bmercenari[a-z]+\b
mercenaria,mercenari[a-z]+,Mercenarix,\bmercenari[a-z]+\b
merece todo lo malo,merece.*(peor|malo),Mereces_lo_peor,\bmerece.*(peor|malo)\b
merece todo lo peor,merece.*(peor|malo),Mereces_lo_peor,\bmerece.*(peor|malo)\b
mesianicos,mesianic[a-z]+,Mesianicx,\bmesianic[a-z]+\b
miauricio,miauricio,Miauricio,\bmiauricio\b
sos terrible basu*a,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
la mierda que sos,mierda.*(so[sn]|es),Mierda,\bmierda.*(so[sn]|es)\b
pedazo de mierda,pedazo de (langosta|mierda)[s]?,Mierda,\bpedazo de (langosta|mierda)[s]?\b
son la peor mierda,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
son una mierda,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
son una reverenda mierda,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
sos una basura,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
sos una caca,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
sos una mierda,so[n|s].*(mierda|caca),Mierda,\bso[n|s].*(mierda|caca)\b
todos la misma mierda,todos.*mierda,Mierda,\btodos.*mierda\b
mierda de tipa,(mierda|miseria) de (tip[aos]+|persona),Mierda,\b(mierda|miseria) de (tip[aos]+|persona)\b
miseria de persona,(mierda|miseria) de (tip[aos]+|persona),Mierda,\b(mierda|miseria) de (tip[aos]+|persona)\b
militonto,militont[a-z]+,Militontx,\bmilitont[a-z]+\b
militontos,militont[a-z]+,Militontx,\bmilitont[a-z]+\b
miserable,miserable[s]?,Miserable,\bmiserable[s]?\b
miserables,miserable[s]?,Miserable,\bmiserable[s]?\b
mitomana,mitoman[a-z]+,Mitomanx,\bmitoman[a-z]+\b
mitomanos,mitoman[a-z]+,Mitomanx,\bmitoman[a-z]+\b
mogolica,mogolic[a-z]+,Mogolicx,\bmogolic[a-z]+\b
mononeuronal,mononeuronal[es]*,Mononeuronal,\bmononeuronal[es]*\b
monstruo,monstruo[s]?,Monstrux,\bmonstruo[s]?\b
viejo mugriendo,mugrient[a-z]+,Mugrientx,\bmugrient[a-z]+\b
mugrosos,mugros[a-z]+,Mugrientx,\bmugros[a-z]+\b
nabo,nab[a-z]+,Nabx,\bnab[a-z]+\b
nabos,nab[a-z]+,Nabx,\bnab[a-z]+\b
pedazo de nabo,nab[a-z]+,Nabx,\bnab[a-z]+\b
narco,narco[s]?,Narco,\bnarco[s]?\b
necia,neci[a-z]+,Necix,\bneci[a-z]+\b
necio,neci[a-z]+,Necix,\bneci[a-z]+\b
gente nefasta,gente nefasta,Nefastx,\bgente nefasta\b
flor de nefasta,nefast[a-z]+,Nefastx,\bnefast[a-z]+\b
nefasta,nefast[a-z]+,Nefastx,\bnefast[a-z]+\b
nefasto,nefast[a-z]+,Nefastx,\bnefast[a-z]+\b
nefastos,nefast[a-z]+,Nefastx,\bnefast[a-z]+\b
negreros,negrer[a-z]+,Nefastx,\bnegrer[a-z]+\b
nene caprichoso,nen[a-z]+ caprichos[a-z]+,Nenx_caprichosx,\bnen[a-z]+ caprichos[a-z]+\b
no jodas,no joda[sn]?,No_jodas,\bno joda[sn]?\b
no servis para nada,no (servis|sirve|sirven) para nada,No_servis,\bno (servis|sirve|sirven) para nada\b
no te da la nafta,no (te|le|les) da la nafta,No_servis,\bno (te|le|les) da la nafta\b
no tiene decencia,no (tenes|tiene|tienen|tienes) (decencia),No_tenes_decencia,\bno (tenes|tiene|tienen|tienes) (decencia)\b
no tiene dignidad,no (tenes|tiene|tienen|tienes) (dignidad),No_tenes_dignidad,\bno (tenes|tiene|tienen|tienes) (dignidad)\b
no tienen moral,no (tenes|tiene|tienen|tienes) (moral),No_tenes_moral,\bno (tenes|tiene|tienen|tienes) (moral)\b
no tenes cara,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tenes corazon,no (tenes|tiene|tienen|tienes) (corazon),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (corazon)\b
no tenes verguenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tenes vergenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tiene cara,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tiene verguenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tiene vergenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tienen cara,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tienen verguenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
no tienen vergenza,no (tenes|tiene|tienen|tienes) (cara|verguenza),No_tenes_vergenza,\bno (tenes|tiene|tienen|tienes) (cara|verguenza)\b
perdiste la vergenza,perd.*verguenza,No_tenes_vergenza,\bperd.*verguenza\b
tienen la cara,tiene[ns]? la cara,No_tenes_vergenza,\btiene[ns]? la cara\b
verguenza deberian tener,verguenza.*tener,No_tenes_vergenza,\bverguenza.*tener\b
se le cae la cara,se le(s)? cae la cara,No_tenes_vergenza,\bse le(s)? cae la cara\b
se les cae la cara,se le(s)? cae la cara,No_tenes_vergenza,\bse le(s)? cae la cara\b
ñoqui,ñoquis[s]?,Ñoqui,\bñoquis[s]?\b
ñoquis,ñoquis[s]?,Ñoqui,\bñoquis[s]?\b
obsecuente,obsecuente[s]?,Obsecuente,\bobsecuente[s]?\b
obtusos,obtus[a-z]+,Obtusx,\bobtus[a-z]+\b
okupas,okup[a-z]+,Ocupas_anti-K,\bokup[a-z]+\b
odiadora,odiador[a-z]*,Odiadorx,\bodiador[a-z]*\b
odiadores seriales,odiador[a-z]*,Odiadorx,\bodiador[a-z]*\b
oligarca,oligarca[s]?,Oligarca,\boligarca[s]?\b
oportunistas,oportunista[s]?,Oportunista,\boportunista[s]?\b
ordinaria,ordinari[a-z]+,Ordinarix,\bordinari[a-z]+\b
ordinario,ordinari[a-z]+,Ordinarix,\bordinari[a-z]+\b
otario,otari[a-z]+,Otarix,\botari[a-z]+\b
pajero,pajer[a-z]+,Pajerx,\bpajer[a-z]+\b
panfleto,panflet[a-z]+,Panfletx,\bpanflet[a-z]+\b
panqq,(panqueque|panqq)[s]?,Panqueque,\b(panqueque|panqq)[s]?\b
panqueque,(panqueque|panqq)[s]?,Panqueque,\b(panqueque|panqq)[s]?\b
panqueques,(panqueque|panqq)[s]?,Panqueque,\b(panqueque|panqq)[s]?\b
pankeke,pankeke[s],Panqueque_anti-K,\bpankeke[s]\b
papanatas,papanata[s]?,Papanatas,\bpapanata[s]?\b
parasitas,parasit[a-z]+,Parasitx,\bparasit[a-z]+\b
parasito,parasit[a-z]+,Parasitx,\bparasit[a-z]+\b
parasitos,parasit[a-z]+,Parasitx,\bparasit[a-z]+\b
parasitos de cuarta,parasit[a-z]+,Parasitx,\bparasit[a-z]+\b
paso por el orto,pas[a-z]+ por el (orto|culo|ogt|ojete),Paso_por_el_orto,\bpas[a-z]+ por el (orto|culo|ogt|ojete)\b
patetica,patetic[a-z]+,Pateticx,\bpatetic[a-z]+\b
patetico,patetic[a-z]+,Pateticx,\bpatetic[a-z]+\b
pateticos,patetic[a-z]+,Pateticx,\bpatetic[a-z]+\b
patotera,patoter[a-z]+,Patoterx,\bpatoter[a-z]+\b
patotero,patoter[a-z]+,Patoterx,\bpatoter[a-z]+\b
pavote,pavot[a-z]+,Pavote,\bpavot[a-z]+\b
payasa,payas[a-z]+,Payasx,\bpayas[a-z]+\b
payaso,payas[a-z]+,Payasx,\bpayas[a-z]+\b
payasos,payas[a-z]+,Payasx,\bpayas[a-z]+\b
pedofilo,pedofil[a-z]+,Pedofilx,\bpedofil[a-z]+\b
pelmaso,pelmas[a-z]+,Pelmasx,\bpelmas[a-z]+\b
pelot__o,pelot.*(o|os|a|as|e|es),Pelotudx,\bpelot.*(o|os|a|as|e|es)\b
pelotuda,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotudazo,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotude,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotudo,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotudos,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotudos de mierda,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pelotudo,pelotud[a-z]+,Pelotudx,\bpelotud[a-z]+\b
pendejo,pendej[a-z]+,Pendejx,\bpendej[a-z]+\b
perdedor,perdedor[a-z]*,Perdedorx,\bperdedor[a-z]*\b
peronchistas,peroch[a-z]*,Peronchx,\bperoch[a-z]*\b
peroncho,peroch[a-z]*,Peronchx,\bperoch[a-z]*\b
peroncho sucio,peroch[a-z]*,Peronchx,\bperoch[a-z]*\b
peronchorros,peroch[a-z]*,Peronchx,\bperoch[a-z]*\b
peronchos,peroch[a-z]*,Peronchx,\bperoch[a-z]*\b
peronista de mierda,peronista de mierda,Peronchx,\bperonista de mierda\b
perro arrastrado,perr[a-z]+ arrastrad[a-z]+,Perrx_falderx,\bperr[a-z]+ arrastrad[a-z]+\b
perrito faldero,perr[a-z]+ falder[a-z]+,Perrx_falderx,\bperr[a-z]+ falder[a-z]+\b
perverso,pervers[a-z]+,Perversx,\bpervers[a-z]+\b
perversos,pervers[a-z]+,Perversx,\bpervers[a-z]+\b
